iddepto,idindicador,yea2005,yea2006,yea2007,yea2008,yea2009,yea2010
5.0,caelacex,,,,,,0.6
5.0,cgrnacim,94636.0,94141.0,92465.0,90973.0,85955.0,78207.0
5.0,ctrmormt,61.0,65.0,37.0,41.0,48.0,40.0
5.0,pbehtaco,,,9.8,,,
5.0,pbepredc,11.4,,,,,10.2
5.0,pbepredg,,,,,,2.8
5.0,pbretaia,,,,,,52.17391304
5.0,pbrmivih,,,,,1.8,2.1
5.0,pcrparin,95.94963254023816,96.55115430785716,96.72617932222225,97.27891006555551,97.81793567230156,97.69010275333329
5.0,pcrperca,97.78942474,98.16233097,98.3950684,98.62266826,98.9389797,98.84665056
5.0,pcrrncpn,84.31,84.66,85.66,85.79,86.55,89.06
5.0,pgeembar,22.1,,,,,19.8
5.0,ptrldeng,,,0.0,0.56,2.2,4.0
5.0,rtrmorpu,64.46,69.05,40.02,45.07,55.84,51.15
5.0,ttdiesti,20.109182315873017,19.779778461984126,19.45028571746031,19.12046617,18.791273119523808,18.461277418333335
5.0,ttdnesti,25.13043183,23.88272928,22.63502674,21.38732419,20.13962165,18.891919100000003
8.0,caelacex,,,,,,0.5
8.0,cgrnacim,40624.0,40573.0,40396.0,41432.0,39889.0,35198.0
8.0,ctrmormt,29.0,30.0,26.0,29.0,30.0,27.0
8.0,pbehtaco,,,10.0,,,
8.0,pbepredc,9.8,,,,,15.5
8.0,pbepredg,,,,,,3.4
8.0,pbretaia,,,,,,66.66666667
8.0,pbrmivih,,,,,,5.0
8.0,pcrparin,94.95826769083334,95.95989899875,97.83307493333336,98.67571981416665,99.26068945500002,99.48057254666668
8.0,pcrperca,98.56242615,99.00919331,99.41330825,99.59692991,99.77186693,99.84942326
8.0,pcrrncpn,83.62,81.86,82.3,81.54,82.4,83.65
8.0,pgeembar,13.1,,,,,17.2
8.0,ptrldeng,,,0.0,10.0,18.75,3.0
8.0,rtrmorpu,71.39,73.94,64.36,69.99,75.21,76.71
8.0,ttdiesti,22.02632189916667,21.78242121041666,21.536393047083337,21.291587518750003,21.046723690833332,20.801411485000003
8.0,ttdnesti,28.32684903,26.42847847,24.5301079,22.63173733,20.73336677,18.8349962
9.0,cgrnacim,829.0,571.0,779.0,872.0,849.0,845.0
9.0,ctrmormt,2.0,1.0,2.0,5.0,18.0,5.0
11.0,cgrnacim,610.0,594.0,585.0,1725.0,1980.0,1386.0
11.0,ctrmormt,64.0,57.0,55.0,44.0,61.0,41.0
11.0,pbehtaco,,,8.0,,,
11.0,pbretaia,,,,,,75.0
11.0,pbrmivih,,,,14.3,,2.6
11.0,pcrparin,99.58658582,99.65852631,99.63148736,99.63857471,99.69688857,99.76565176
11.0,pcrperca,99.60792333,99.69451711,99.67072713,99.69980441,99.73574901,99.81432409
