,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,,,,,,,,,,,,,,,,CABECERA,,,,,,,,,,,,,,,,RESTO,,,,,,,,,,,,,,,
Código,Departamento,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
05,Antioquia,"5,682,276","5,758,478","5,835,008","5,911,330","5,988,458","6,065,846","6,143,709","6,221,742","6,299,886","6,378,069","6,456,207","6,534,764","6,613,063","6,690,977","6,768,362","6,845,057","4,324,035","4,396,939","4,469,850","4,542,821","4,615,675","4,688,529","4,761,383","4,833,995","4,906,327","4,978,361","5,049,966","5,121,277","5,192,059","5,262,135","5,331,426","5,399,916","1,358,241","1,361,539","1,365,158","1,368,509","1,372,783","1,377,317","1,382,326","1,387,747","1,393,559","1,399,708","1,406,241","1,413,487","1,421,004","1,428,842","1,436,936","1,445,141"
08,Atlántico,"2,166,156","2,195,778","2,225,462","2,255,164","2,284,840","2,314,447","2,344,140","2,373,680","2,403,027","2,432,145","2,461,001","2,489,709","2,518,096","2,546,138","2,573,816","2,601,116","2,058,266","2,088,369","2,118,477","2,148,474","2,178,382","2,208,161","2,237,934","2,267,493","2,296,793","2,325,816","2,354,492","2,382,986","2,411,090","2,438,772","2,466,088","2,492,977","107,890","107,409","106,985","106,690","106,458","106,286","106,206","106,187","106,234","106,329","106,509","106,723","107,006","107,366","107,728","108,139"
11,"Bogotá, D.C.","6,840,116","6,945,216","7,050,228","7,155,052","7,259,597","7,363,782","7,467,804","7,571,345","7,674,366","7,776,845","7,878,783","7,980,001","8,080,734","8,181,047","8,281,030","8,380,801","6,824,507","6,929,548","7,034,485","7,139,232","7,243,698","7,347,795","7,451,718","7,555,165","7,658,081","7,760,451","7,862,277","7,963,379","8,063,991","8,164,178","8,264,029","8,363,671","15,609","15,668","15,743","15,820","15,899","15,987","16,086","16,180","16,285","16,394","16,506","16,622","16,743","16,869","17,001","17,130"
13,Bolívar(1)(3),"1,878,993","1,897,658","1,917,112","1,937,316","1,958,224","1,979,781","2,002,391","2,025,521","2,049,083","2,072,976","2,097,086","2,122,021","2,146,900","2,171,558","2,195,811","2,219,461","1,399,666","1,421,008","1,442,693","1,466,122","1,488,316","1,510,663","1,533,533","1,556,554","1,579,582","1,602,584","1,625,448","1,648,615","1,671,511","1,693,970","1,715,900","1,737,165","479,327","476,650","474,419","471,194","469,908","469,118","468,858","468,967","469,501","470,392","471,638","473,406","475,389","477,588","479,911","482,296"
15,Boyacá,"1,255,311","1,258,207","1,260,854","1,263,281","1,265,517","1,267,597","1,269,401","1,271,136","1,272,844","1,274,571","1,276,367","1,278,061","1,279,913","1,281,979","1,284,318","1,286,996","646,412","655,323","663,940","672,210","680,202","687,857","695,430","702,695","709,756","716,626","723,394","729,953","736,404","742,726","749,098","755,329","608,899","602,884","596,914","591,071","585,315","579,740","573,971","568,441","563,088","557,945","552,973","548,108","543,509","539,253","535,220","531,667"
17,Caldas,"968,740","970,665","972,590","974,514","976,438","978,362","980,281","982,202","984,128","986,061","988,003","989,942","991,896","993,870","995,867","997,890","671,003","674,737","678,527","682,336","686,116","689,883","693,640","697,371","701,140","704,866","708,609","712,320","716,056","719,730","723,454","727,146","297,737","295,928","294,063","292,178","290,322","288,479","286,641","284,831","282,988","281,195","279,394","277,622","275,840","274,140","272,413","270,744"
18,Caquetá,"420,337","425,590","430,960","436,443","442,033","447,723","453,562","459,484","465,477","471,527","477,619","483,834","490,055","496,262","502,431","508,534","231,202","236,293","241,513","246,748","252,031","257,316","262,661","268,008","273,371","278,705","284,040","289,406","294,736","300,040","305,247","310,365","189,135","189,297","189,447","189,695","190,002","190,407","190,901","191,476","192,106","192,822","193,579","194,428","195,319","196,222","197,184","198,169"
19,Cauca(1)(3),"1,268,937","1,277,983","1,287,545","1,297,594","1,308,090","1,318,983","1,330,666","1,342,617","1,354,744","1,366,937","1,379,070","1,391,889","1,404,313","1,416,145","1,427,167","1,437,141","482,421","487,423","497,565","503,352","509,274","515,328","521,746","528,279","534,852","541,369","547,821","554,704","561,275","567,610","573,401","578,646","786,516","790,560","789,980","794,242","798,816","803,655","808,920","814,338","819,892","825,568","831,249","837,185","843,038","848,535","853,766","858,495"
20,Cesar,"903,279","915,923","928,569","941,207","953,827","966,420","979,015","991,566","1,004,064","1,016,503","1,028,880","1,041,203","1,053,456","1,065,637","1,077,745","1,089,783","637,792","651,099","664,405","677,661","690,810","703,886","716,855","729,740","742,526","755,271","767,875","780,433","792,862","805,211","817,449","829,590","265,487","264,824","264,164","263,546","263,017","262,534","262,160","261,826","261,538","261,232","261,005","260,770","260,594","260,426","260,296","260,193"
