ID,OpenData,GADM,Department,Capital,Area (km²),Population,
0,11,Non existent,Capital District,Bogotá,"1,587","8,254,722",Part of cundinamarca?
1,91,1,Amazonas,Leticia,"109,665","80,360",
2,5,2,Antioquia,Medellín,"63,612","5,750,478",
3,81,3,Arauca,Arauca,"23,818","282,302",
4,8,4,Atlántico,Barranquilla,"3,388","2,365,663",
5,13,5,Bolívar,Cartagena,"25,978","2,229,967",
6,15,6,Boyacá,Tunja,"23,189","1,411,239",
7,17,8,Caldas,Manizales,"7,888","1,170,187",
8,18,9,Caquetá,Florencia,"88,965","463,333",
9,85,10,Casanare,Yopal,"44,640","325,713",
10,19,11,Cauca,Popayán,"29,308","1,363,054",
11,20,12,Cesar,Valledupar,"22,905","1,050,303",
12,27,12,Chocó,Quibdó,"46,530","413,173",
13,23,7,Córdoba,Montería,"25,020","1,392,905",
14,25,14,Cundinamarca,Bogotá,"24,210","2,680,041",
15,94,15,Guainía,Inirida,"72,238","43,314",
16,95,16,Guaviare,San José del Guaviare,"53,460","133,236",
17,41,17,Huila,Neiva,"19,890","994,218",
18,44,18,La Guajira,Riohacha,"20,848","524,619",
19,47,19,Magdalena,Santa Marta,"23,188","1,403,318",
20,50,20,Meta,Villavicencio,"85,635","771,089",
21,52,21,Nariño,Pasto,"33,268","1,775,139",
22,54,22,Norte de Santander,Cúcuta,"21,658","1,493,932",
23,86,23,Putumayo,Mocoa,"24,885","378,483",
24,63,24,Quindío,Armenia,"1,845","613,375",
25,66,25,Risaralda,Pereira,"4,140","1,024,362",
26,91,26,San Andrés y Providencia,San Andrés,52,"83,491",
27,68,27,Santander,Bucaramanga,"30,537","2,085,084",
28,70,28,Sucre,Sincelejo,"10,917","868,648",
29,73,29,Tolima,Ibagué,"23,562","1,312,972",
30,76,30,Valle del Cauca,Cali,"22,140","4,524,678",
31,97,31,Vaupés,Mitú,"54,135","33,152",
32,99,32,Vichada,Puerto Carreño,"100,242","97,276",
,,,,,,,
,170,,Colombia,,,,
