idindicador,idunidad,iddepto,nomdepto,2005,2006,2007,2008,2009,2010
ttdiesti,20,41,huila,28.29,27.66,27.03,26.4,25.78,25.15
ctrmormt,17,75,extranjeros,1,0,0,0,1,2
ttdiesti,20,76,valle del cauca,14.9,14.46,14.01,13.56,13.11,12.67
ttdiesti,20,68,santander,18.82,18.26,17.7,17.13,16.57,16
caelacex,5,20,cesar,NA,NA,NA,NA,NA,0.7
ttdiesti,20,85,casanare,29.43755402,29.00060793,28.56311117,28.12497557,27.68468691,27.24541464
pcrparin,1,15,boyaca,90,89.4,84.67,87.07,92.09,93.79
pcrparin,1,54,n.santander,91.78,88.61,90.41,95.45,97.67,96.55
ttdiesti,20,5,antioquia,31.44,30.75,30.05,29.35,28.65,27.95
pcrparin,1,68,santander,66.67,82.61,86.96,88.64,85.11,91.67
ttdiesti,20,73,tolima,28.15,28.15,28.15,28.15,28.15,28.15
pcrparin,1,5,antioquia,96.57,96.97,95.73,97.34,96.91,94.32
ttdiesti,20,25,cundinamarca,22.66,22.1,21.54,20.99,20.43,19.87
pcrparin,1,15,boyaca,87.07,94.38,95.79,90.91,96.33,95.65
ctrmormt,17,44,la guajira,15,19,20,13,27,19
pcrparin,1,52,narino,98.57,95.65,100,89.16,91.23,96.12
pcrparin,1,85,casanare,100,95.24,100,100,100,95.45
ttdiesti,20,68,santander,17.08652819,16.59394603,16.10021327,15.60535286,15.1094053,14.61237122
ttdiesti,20,25,cundinamarca,24.54,24,23.45,22.91,22.36,21.82
pcrparin,1,68,santander,80.95,91.67,88.89,100,100,100
pcrparin,1,25,cundinamarca,98.94988998,99.12161976,99.16858875,99.17866124,99.26570423,99.27940964
pcrparin,1,5,antioquia,100,99.94,100,99.88,99.87,99.87
ttdiesti,20,18,caqueta,28.55,27.92,27.29,26.65,26.02,25.38
ttdiesti,20,68,santander,23.5,23.5,23.5,23.5,23.5,23.5
rtrmorpu,4,94,guainia,386.1,558.66,0,351.49,162.87,0
ttdiesti,20,15,boyaca,19.37,18.59,17.82,17.04,16.27,15.49
ttdiesti,20,52,narino,36.47,36.47,36.47,36.47,36.47,36.47
ttdiesti,20,15,boyaca,26.53,25.47,24.4,23.34,22.28,21.22
ttdiesti,20,47,magdalena,38.91,37.43,35.95,34.47,32.98,31.5
rtrmorpu,4,95,guaviare,171.23,240,64.02,125.63,69.44,74.07
pcrparin,1,5,antioquia,98.76,99.61,100,99.19,100,98.01
pcrparin,1,23,cordoba,82.9,87.38,98.22,91.96,96.9,99.01
ttdiesti,20,23,cordoba,28.17,27.54,26.91,26.29,25.66,25.04
ttdiesti,20,20,cesar,24.78,24.5,24.23,23.95,23.68,23.4
pcrparin,1,25,cundinamarca,100,100,100,100,97.44,100
pcrparin,1,70,sucre,99.43,97.69,98.78,99.4,98.7,96.88
pbepredc,1,23,cordoba,15,NA,NA,NA,NA,16.4
